	rome_1556	Val_S	BC_Ms_739	Digby_233	Vat_Reg_Lat_844
67	quæ sunt quidam habitus laudabiles, 	que son vnas uestiduras muy loables |e muchon honrradas del alma / 	qui son alguns habits o concebimens dignes delahor 	to speke bien goode habites, that is dwellyng places; |outhir thai bien 	que sunt quidum laudabiles habitus sererunt 
68	vel erit in potentijs naturalibus, 	o seran en las poderios natales / 	o seran en les potencies nals/ 	in the natural vertual my3tes, 	in potiinciis naturalibus 
69	vel in ipsis sensibus, 	o en los poderios senssitiuos / 	o en les potencies sensitiues/ 	oper in the vertual my3tes |and wittes of felyng, 	uel in ipsis sensibus 
70|71	vel in appetitu sensitiuo, |vel in appetitu intellectiuo, 	o en el apetito senssitiuo / |o en el apetito intellectiuo |que es la uoluntad / 	o en lappetiment sensitiu |o en lappetiment incellectiu 	oper in the appetite sensitif of felyng, |oper in | the appetite intellectual, 	uel insensicinołn appetitu intelleciuo 
72|73	vel in ipso intelle cu, |vel in omnibus his, 	o en el entendimiento mismo / |o en todas estos / 	o en lentemment o entotes aquestes potencies 	oper in the intellecte and inwyt, |oper in al bes, 	uel in ipso intłlecu |uel in o̾ibus hiis 
74	vel in aliquibus horum. 	o en alguons dellos / · 	o en algunes daquestes. 	oper in some perof. 	uel in aliquibus horum 
75	In potentijs autem naturalibus esse non possunt. 	Mas que en los poderios naturales |non pueden ser las uirtudes 	En les potencies nals no poden esser 	And a mowe not be in natural vertual mizttes 	in potenciis autem naturalibus esse non possunt 
76|77|78|79	quod tripliciter patet. |Primo, quia ex naturalibus nec laudamur, |nec vi tuperamur : |nullus enim dicitur bonus homo 	podemos lo prouar |por tres razons / ¶ |La primera es |que por las cosas naturales |non somos alabados nin denostados /· |Ca ningun omne non es dicho bueno 	la qual cosa entres maneres es manifesta ¶primerament |per tal com per les potencies nanls |no son lohars ne uituperats qͣr 	and that is declared in pre wise. [Firste,] for we bep noust preysed nober iblamed |for naturel and kynde vertue, |for no man is acounted a good man 	quod tripliciter patet pͤ |quod ee naturalibus nec laudamur nec uituperamur.|Nullus enim dicur bonus homo 
80|81	ex eo quod habeat digestiuam bonam, |vel bonam augmentatiuam. 	por que muele bien la uianda |nin por que cresçe bien |e se faze grande en el cuerpo ¶ 	negun hom no es dit bo per co com el ha bona digestio o bona crexença 	for he hath good degestioun and wexinge. 	ex eo quod habeat bonam digestiuam |uel bonam augmentatiuam. 
		La segunda razon 			
82	Secundo, in talibus non habent esse virtutes: 	por que en tales poderios naturales |non han de seer las uirtudeses /· 	¶En apͥs entals potencies no han esser aquestes uirtuts 	The seconde, suche vertues bep noust in the naturel vertual my3tes, 	secundo intłibus non habent esse huius uirtutes 
